Region,2024 (current prices),Unnamed: 39,Omitted countries,year,value
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",2011,355.12115990351424
Oceania,36.98674327781575,,,2011,25.275843968039162
South Asia,102.3815205919318,,,2011,67.22501207141441
East Asia,433.1594053700567,,,2011,225.74563057823298
South East Asia,54.86528321337011,,,2011,35.04785846389031
Central Asia,1.9284080397939944,,,2011,1.8268148219373974
Europe,693.4417221375255,,,2011,361.55096258550157
Central Europe,74.9747613412554,,,2011,24.082190503152276
Eastern Europe,221.0853464281265,,,2011,61.364108544529394
Western Europe,397.3816143681436,,,2011,276.10466353781993
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",2011,146.36472583311692
World,2718.18371875139,,,2012,1983.5849132954195
